                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                                     294                  3.3280495399902742E-004                  1.3578933598141359E+002                  2.1328656645963280E+000                  8.6913539999999994E+003 
                                     296                  3.3442771418063275E-004                  1.1072217406711249E+002                  2.0442346047145654E+000                  8.7216309999999994E+003 
                                     298                  3.3589089896007303E-004                  9.4576063039531434E+001                  1.9757812314832370E+000                  8.7525010000000002E+003 
                                     300                  3.3829004219695436E-004                  7.6248772536179558E+001                  1.8822328567394169E+000                  8.7820229999999992E+003 
                                     302                  3.3942352278638568E-004                  6.9447965783888250E+001                  1.8416595292418005E+000                  8.8243960000000006E+003 
                                     304                  3.4055700337581705E-004                  6.3543289182629216E+001                  1.8030696913991275E+000                  8.8506810000000005E+003 
                                     306                  3.4395744514411112E-004                  5.1556070007751551E+001                  1.7122798047442560E+000                  8.8786910000000007E+003 
                                     308                  3.4866788727825173E-004                  4.2093566484315964E+001                  1.6242157240098167E+000                  8.9068960000000006E+003 
                                     310                  3.5745271237573893E-004                  3.4613543151170731E+001                  1.5392460573190507E+000                  8.9325589999999993E+003 
                                     312                  3.6957111269688179E-004                  3.1875034164319501E+001                  1.5034506589280503E+000                  8.9618080000000009E+003 
                                     312                  3.6631835566353700E-004                  3.2193800840736642E+001                  1.5077722530669044E+000                  9.0463050000000003E+003 
                                     314                  3.7029106393811535E-004                  3.1712420540293440E+001                  1.5012293920483026E+000                  9.0774650000000001E+003 
                                     316                  3.7426377221269364E-004                  3.1329618818738851E+001                  1.4959551109389857E+000                  9.1104750000000004E+003 
                                     318                  3.8618189703642846E-004                  3.1516395232601862E+001                  1.4985365381285296E+000                  9.1407520000000004E+003 
                                     320                  3.9419572376026604E-004                  3.2169727821836368E+001                  1.5074473864856002E+000                  9.1949979999999996E+003 
                                     322                  3.9648538853850537E-004                  3.2300866258580150E+001                  1.5092141695842458E+000                  9.2364889999999996E+003 
                                     324                  3.9877505331674471E-004                  3.2319127974980752E+001                  1.5094596342571558E+000                  9.2667600000000002E+003 
                                     326                  4.0564404765146262E-004                  3.2803325015033401E+001                  1.5159178669584323E+000                  9.2969369999999999E+003 
                                     328                  4.2512305087532453E-004                  3.4695280589119733E+001                  1.5402704040849440E+000                  9.3301589999999997E+003 
                                     330                  4.3668183627953771E-004                  3.5825752456396181E+001                  1.5541953207505799E+000                  9.3742260000000006E+003 
                                     332                  4.4328685651051668E-004                  3.6311474636239311E+001                  1.5600438862959072E+000                  9.4069570000000003E+003 
                                     334                  4.5319438685698511E-004                  3.7451011661665881E+001                  1.5734635537616481E+000                  9.4377939999999999E+003 
                                     336                  4.6508342327274729E-004                  3.8931722200392677E+001                  1.5903036157804245E+000                  9.5547350000000006E+003 
                                     338                  4.7565145564231370E-004                  3.9813707631986560E+001                  1.6000326229278714E+000                  9.5883490000000002E+003 
                                     340                  4.9150350419666317E-004                  4.2015477745900348E+001                  1.6234093061448367E+000                  9.6185709999999999E+003 
                                     342                  4.9466781059079160E-004                  4.2378284629284757E+001                  1.6271433735377474E+000                  9.7319240000000009E+003 
                                     344                  4.9783211698492004E-004                  4.2790505761779606E+001                  1.6313474196517748E+000                  9.7621239999999998E+003 
                                     346                  4.9941427018198421E-004                  4.2997348292924826E+001                  1.6334416728525931E+000                  9.8051049999999996E+003 
                                     348                  5.0099642337904837E-004                  4.3155999504084122E+001                  1.6350411794347488E+000                  9.8353709999999992E+003 
                                     350                  5.0574288297024097E-004                  4.3836413187679106E+001                  1.6418350117964364E+000                  9.8661380000000008E+003 
                                     352                  5.1964968619141007E-004                  4.6531844845889154E+001                  1.6677502713277379E+000                  9.8999680000000008E+003 
                                     354                  5.3625119259524364E-004                  5.0591109775128245E+001                  1.7040742062701610E+000                  9.9427970000000005E+003 
                                     356                  5.4896635765668098E-004                  5.4531125907257902E+001                  1.7366444646822596E+000                  9.9731029999999992E+003 
                                     358                  5.6053169983207854E-004                  6.0404417068215750E+001                  1.7810686975319348E+000                  1.0016304000000000E+004 
                                     360                  5.6436026661156840E-004                  6.3248230230427595E+001                  1.8010483778808566E+000                  1.0067570000000000E+004 
                                     362                  5.6779010228742114E-004                  6.5620897259185995E+001                  1.8170421643622692E+000                  1.0097772999999999E+004 
                                     364                  5.7379660633774879E-004                  7.3728886060831954E+001                  1.8676376723774177E+000                  1.0139101000000001E+004 
                                     366                  5.7853308296876228E-004                  8.7069582039496495E+001                  1.9398664597187723E+000                  1.0171091000000000E+004 
                                     367                  5.7971720212651560E-004                  9.2165772923353217E+001                  1.9645696695322166E+000                  1.0219579000000000E+004 
                                     368                  5.8090132128426903E-004                  1.0022261553828021E+002                  2.0009657324617365E+000                  1.0235793000000000E+004 
                                     370                  5.8174613865514732E-004                  1.0833535951098311E+002                  2.0347702288703848E+000                  1.0289974000000000E+004 
                                     372                  5.8219914316209442E-004                  1.1419997355740422E+002                  2.0576660033505054E+000                  1.0320953000000000E+004 
                                     374                  5.8287864992251522E-004                  1.3099791966200516E+002                  2.1172643988123627E+000                  1.0351924999999999E+004 
                                     376                  5.8311695506620337E-004                  1.4086445113786732E+002                  2.1488014074275448E+000                  1.0468945000000000E+004 
                                     378                  5.8327582516199555E-004                  1.5094710813561286E+002                  2.1788247971684824E+000                  1.0499660000000000E+004 
                                     380                  5.8335526020989164E-004                  1.5830291057842098E+002                  2.1994888999320135E+000                  1.0538409000000000E+004 
                                     382                  5.8342675175299813E-004                  1.7359087061923375E+002                  2.2395268813016118E+000                  1.0586936000000000E+004 
                                     384                  5.8344581616449323E-004                  1.8252206829494534E+002                  2.2613153814461868E+000                  1.0654777000000000E+004 
                                     386                  5.8345827264314539E-004                  1.9259296738416322E+002                  2.2846404246264500E+000                  1.0707884000000000E+004 
                                     388                  5.8346927236802373E-004                  2.1176344975662289E+002                  2.3258510032746940E+000                  1.0762206000000000E+004 
                                     390                  5.8347661513073485E-004                  2.3710320557193143E+002                  2.3749374255631324E+000                  1.0815511000000000E+004 
                                     392                  5.8348490069403053E-004                  3.0588949633313217E+002                  2.4855645643894535E+000                  1.0870689000000000E+004 
                                     394                  5.8349463707198397E-004                  5.3945857623577558E+002                  2.7319581018402195E+000                  1.0925728999999999E+004 
                                     396                  5.8350086835387408E-004                  8.9154513798504809E+002                  2.9501433359371481E+000                  1.0996648999999999E+004 
                                     398                  5.8350485637428387E-004                  1.2742649670481096E+003                  3.1052597433541180E+000                  1.1040677000000000E+004 
                                     400                  5.8350747581119961E-004                  1.6145754260070978E+003                  3.2080583381940149E+000                  1.1078725000000000E+004 
                                     402                  5.8350965155726936E-004                  1.9551986007574174E+003                  3.2911908777586802E+000                  1.1115230000000000E+004 
                                     404                  5.8351230351816319E-004                  2.4378411872727020E+003                  3.3870054101676623E+000                  1.1149118000000000E+004 
                                     406                  5.8351588038153758E-004                  3.1981720946313308E+003                  3.5049018295596315E+000                  1.1182584000000001E+004 
                                     408                  5.8351860534020254E-004                  3.8620090077970217E+003                  3.5868132823983156E+000                  1.1216407999999999E+004 
                                     410                  5.8351958990017689E-004                  4.1211138784190161E+003                  3.6150146155160132E+000                  1.1317290000000001E+004 
                                     412                  5.8352057446015124E-004                  4.3885197692304273E+003                  3.6423180590896349E+000                  1.1350672000000000E+004 
                                     414                  5.8352352814007461E-004                  5.2252009155748028E+003                  3.7181029942755091E+000                  1.1383769000000000E+004 
                                     416                  5.8352762985143622E-004                  6.4732322925168310E+003                  3.8111211919936943E+000                  1.1446147999999999E+004 
                                     418                  5.8353149075882950E-004                  7.7106879634495590E+003                  3.8870931284271788E+000                  1.1483259000000000E+004 
                                     420                  5.8353719796824116E-004                  9.5335734242727031E+003                  3.9792557157020889E+000                  1.1517545000000000E+004 
                                     422                  5.8354542838159938E-004                  1.1984964503293244E+004                  4.0786367520912661E+000                  1.1555125000000000E+004 
                                     424                  5.8355470896256109E-004                  1.4405787567963129E+004                  4.1585370062520255E+000                  1.1592848000000000E+004 
