                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       2                                      875                  1.9132261684189342E-007                 -9.4180714135030801E+000                  1.4000000000002657E+000                  2.2102447358681317E+001                 -8.5228787452803374E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.0536778945529122E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0490391591537027E+000                 -1.2065242450589825E+001                 -1.2078371929599360E+001                  1.0490391591537684E+000                 -4.4167002703022868E+000                  1.0490376730619471E+000                 -1.2065242450589825E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2376307392349348E+000                  3.1796207488776967E-001                 -4.7930216045733580E+000                  1.4270045327112632E+001                  4.6473748098887697E-008                  8.0672756991110983E+000                  6.4934779388008455E+000                  2.3175340653516525E+001                  6.4934779388008455E+000                  8.0672756991110983E+000                  1.8080241426426817E+000                  5.0176079424545417E-001                  1.9482101320003171E+001                  3.5215884841926057E-003                  1.3588080627197703E-003                  1.0774843308499063E-006                  3.6459927894770484E-005                  1.8154116769895914E-003                  8.2478874009289348E-003                  1.8890696969113733E-013                  7.1486680030291740E-014                                        2                                        1                                       12 
                                      10                                      786                  1.9180139665853179E-007                 -1.0300883442862293E+001                  1.4000000000002657E+000                  2.2102447456691781E+001                 -8.5228787452803374E+000                  0.0000000000000000E+000                  5.1587955035772415E-001                  4.1834875986488695E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.4107352604209034E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0181283582704475E+000                 -1.0457373093823664E+001                 -1.1064191109467876E+001                  2.0181283582706286E+000                 -3.5184233177818371E+000                  2.0181270957649828E+000                 -1.0457373093823664E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2081983724244205E+000                  2.0017949347645606E-001                 -4.7930481616579863E+000                  1.4270106206707197E+001                  1.5544313225134517E-006                  8.0641103189741372E+000                  6.4876645642573916E+000                  2.3175330944829970E+001                  6.4876645642573916E+000                  8.0641103189741372E+000                  1.7597892698035194E+000                  5.0671448814199771E-001                  1.6250816839438439E+001                  1.3428976258070083E-002                  5.1532763326921143E-003                  4.4690837747570339E-006                  1.4164204473278866E-004                  3.7193285250933147E-004                  4.0828431096504702E-003                  1.8891018370970011E-013                  7.1488442293953299E-014                                        4                                        1                                        7 
                                      20                                      781                  1.9232360874354966E-007                 -9.9850763320495712E+000                  1.4000000000002657E+000                  2.2102447563593191E+001                 -8.5228787452803374E+000                  0.0000000000000000E+000                  5.2457114138480254E-001                  4.0817967609833394E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.0536745659932620E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2641674898835249E+000                 -1.0102906395777710E+001                 -1.0857040945755532E+001                  2.2641674898837443E+000                 -3.2950818509578284E+000                  2.2641662916662697E+000                 -1.0102906395777710E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3277069056178314E+000                  6.7818072987957345E-001                 -4.7930646098432499E+000                  1.4270143912987347E+001                  5.8545855537209591E-007                  8.0628842156113212E+000                  6.4848675456968605E+000                  2.3175332542559250E+001                  6.4848675456968605E+000                  8.0628842156113212E+000                  1.7365264135505218E+000                  5.0920366557963603E-001                  1.5001819722748076E+001                  1.8407331123577935E-002                  7.0338477754724408E-003                  6.9386797753201642E-006                  1.9706654021766447E-004                  1.0053470174902793E-004                  1.5022169553487227E-003                  1.8890970769795983E-013                  7.1489482756962764E-014                                        4                                        1                                        7 
                                      30                                      764                  2.1075980367309721E-007                 -8.3346283828716441E+000                  1.4000000000002657E+000                  2.2102451337627617E+001                 -8.5228787452803374E+000                  0.0000000000000000E+000                  8.8390689340813466E-001                  4.3041843875489998E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.5268066342908355E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8398309533170627E+000                 -8.7711345307107162E+000                 -9.5732219512794536E+000                  2.8398309533182942E+000                 -2.8744845902829259E+000                  2.8398301148824729E+000                 -8.7711345307107162E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005283E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3240176767867036E+000                  6.6339429491363400E-001                 -4.7930793696639640E+000                  1.4270177749059147E+001                  1.6641588486701217E-009                  8.0870532929030752E+000                  6.4782626323405008E+000                  2.3175338450737705E+001                  6.4782626323405008E+000                  8.0870532929030752E+000                  1.6861488296029221E+000                  5.1483194091040108E-001                  1.2781918476189475E+001                  2.9663881778630774E-002                  1.1250565486035091E-002                  1.3036453662379747E-005                  3.1949515794777665E-004                  1.3027382868834861E-005                  3.2012143001385924E-004                  1.8880197362586480E-013                  7.1605616315800752E-014                                        4                                        1                                        6 
                                      40                                      755                  2.3620073387313657E-007                 -9.8627181755027049E+000                  1.4000000000002659E+000                  2.2102456545532711E+001                 -8.5228787452803374E+000                  0.0000000000000000E+000                  9.5656339086414710E-001                  9.7994526065265199E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.0535286835760047E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8026637591462702E+000                 -4.8310212812559303E+000                 -4.7641565950286546E+000                  4.8026637593649690E+000                 -2.3898079389274915E+000                  4.8026637312649951E+000                 -4.8310212812559303E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3013303592610033E+000                  5.7264717797152576E-001                 -4.7930782930836182E+000                  1.4270175281050451E+001                  4.6224571074837185E-008                  8.2342927085229665E+000                  6.4746483340819383E+000                  2.3175340302142711E+001                  6.4746483340819383E+000                  8.2342927085229665E+000                  1.6867205846001694E+000                  5.1475032731163206E-001                  1.2801459009109017E+001                  2.9500654613865491E-002                  1.1425864217749930E-002                  4.6249770774291144E-005                  2.7033777444070389E-004                  3.4545259797874574E-005                  2.7459673116183425E-004                  1.8777359905621484E-013                  7.2710132641043974E-014                                       11                                        1                                        6 
                                      50                                      771                  2.3657905676155576E-007                 -1.1942273031060767E+001                  1.4000000000002659E+000                  2.2102456622977115E+001                 -8.5228787452803374E+000                  1.4000000000001065E+000                  9.7480941515226072E-001                  3.5267637135127927E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.5267637135127927E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7828190642333110E+000                 -1.5443316094638453E+000                 -9.6432002922030302E-001                  6.7828190740520418E+000                 -1.4548941445766852E+000                  6.7828190617210131E+000                 -1.5443316094638453E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848800000005283E+033                  2.7848800000005289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3017090006751886E+000                  5.7417008594842522E-001                 -4.7930741219235369E+000                  1.4270165718878127E+001                  1.6731834303802565E-006                  8.4514803175333704E+000                  6.4646716527551753E+000                  2.3175335223810261E+001                  6.4646716527551753E+000                  8.4514803175333704E+000                  1.6880145884345126E+000                  5.1456575424783435E-001                  1.2845844252197404E+001                  2.9131508488772096E-002                  1.1822814926773803E-002                  1.9341720897632836E-004                  2.4412428901669268E-004                  5.7862423762671705E-005                  2.6824158277117307E-004                  1.8558742680434029E-013                  7.5059995709842619E-014                                       16                                        1                                        6 
