                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                             total_energy           total_energy_sources_and_sinks       total_energy_and_integrated_fluxes                                    tot_E                                log_tot_E                        v_div_csound_surf                              num_retries                              num_backups                             elapsed_time 
                                       2                  3.4369332366807200E-007                  1.4000000000002661E+000                 -6.8160114221751176E+000                  2.2102478549196253E+001                 -8.5228787452803374E+000                                      875                  1.3999999999999999E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005295E+033                  2.7848800000005295E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                 -4.3170826082308855E-001                 -2.0823299587095001E+001                 -2.2464886864711513E+000                 -4.2510591104462025E-001                  6.1361440479744509E+000                  8.1653548540477228E-001                 -8.8024936731839795E-002                 -4.7930417278621951E+000                  1.4270091457772244E+001                  1.8624793135878056E+014                  8.1305005530780239E+000                  6.6103011068511837E+000                  2.3175447144033740E+001                  2.4199201343358858E+000                  4.0594781261121765E-001                  1.3719367683796824E+002                  3.4453511743938905E-003                  9.3458283878204759E-003                  1.8922848754293410E-013                  7.1613147377771861E-014                 -5.3616843962783287E+000                 -4.3171336364870749E-001                 -2.0823299587095001E+001                 -2.1004050213902755E+042                  6.8966118522542476E+034                 -2.1004049524241568E+042                 -2.1004050213902755E+042                  4.2322303047874151E+001                  8.9938909462441511E-011                                        0                                        0                  1.9472000000000001E+001 
                                       4                  1.2602088534495973E-006                  1.4000000000002688E+000                 -6.2139514308471551E+000                  2.2102666114070310E+001                 -8.5228787452803374E+000                                      795                  1.3999999999984878E+000                  7.1949927651230516E-001                  1.4100251660820184E-005                  9.5775797231354487E-001                  7.9801507935913618E-001                  7.1949927651230516E-001                  1.4100251660820184E-005                  9.5775797231354487E-001                  7.9801507935913618E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005346E+033                  2.7848800000005346E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                 -3.3223079564464641E-001                 -2.0414194957172732E+001                 -2.9732651031658066E+000                 -3.3123938357122357E-001                  6.1497986222335301E+000                  9.2597059083658517E-001                 -3.3402806450043808E-002                 -4.7930398112394554E+000                  1.4270087064084587E+001                  1.8624604712784472E+014                  8.1399702331148198E+000                  6.6103047639097792E+000                  2.3175633013058864E+001                  2.4199201343186321E+000                  4.0594781261230029E-001                  1.3719367680288823E+002                  3.4453511743938901E-003                  9.3458283878204724E-003                  1.9116152387031699E-013                  7.2374371684716751E-014                 -5.2429783322791703E+000                 -3.3223612947798520E-001                 -2.0414194957172732E+001                 -2.1013115110936720E+042                  2.7447338348628864E+035                 -2.1013110305753315E+042                 -2.1013115110936720E+042                  4.2322490439612338E+001                  9.3600510902724668E-012                                        0                                        0                  5.2212000000000003E+001 
                                       6                  4.0039996831195527E-006                  1.4000000000002772E+000                 -5.8176509465961370E+000                  2.2103227147004258E+001                 -8.5228787452803374E+000                                      791                  1.3999999999979447E+000                  6.2872922962013078E-001                  3.5205120869630235E-006                  9.5652151441201883E-001                  8.8805285723185312E-001                  6.2872922962013078E-001                  3.5205120869630235E-006                  9.5652151441201883E-001                  8.8805285723185312E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005514E+033                  2.7848800000005514E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7589583813879893E-002                 -1.8862378358619818E+001                 -2.9628744981667099E+000                  8.7976063769859128E-002                  6.1752310304219806E+000                  1.1704075997195573E+000                  6.8337133098074848E-002                 -4.7930346578422975E+000                  1.4270075250398058E+001                  1.8624098092833216E+014                  8.1651556112264121E+000                  6.6103412531586470E+000                  2.3176195624930006E+001                  2.4199201343186312E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938927E-003                  9.3458283878204828E-003                  1.9693232146837936E-013                  7.4663519605098873E-014                 -5.0553357798316920E+000                  8.7586458738408104E-002                 -1.8862378358619818E+001                 -2.1040251906657940E+042                  7.7837766734358185E+035                 -2.1040233664230780E+042                 -2.1040251906657940E+042                  4.2323050935149787E+001                  3.9501900657716239E-012                                        0                                        0                  8.5953000000000003E+001 
                                       8                  6.3439139226042147E-006                  1.4000000000002841E+000                 -5.9687352982750328E+000                  2.2103705025896762E+001                 -8.5228787452803374E+000                                      790                  1.3999999999968911E+000                  4.6368097144863163E-001                  7.0332807962092403E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6368097144863163E-001                  7.0332807962092403E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005652E+033                  2.7848800000005652E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  6.7597666349198338E-001                 -1.5547672176388176E+001                 -1.9714993984788356E+000                  6.7695349518548131E-001                  6.2141297746752278E+000                  1.6747424037444856E+000                  2.2394801660534738E-001                 -4.7930267045951558E+000                  1.4270057018369913E+001                  1.8623316254777594E+014                  8.1851468874326923E+000                  6.6103746651648185E+000                  2.3176671834328033E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288508E+002                  3.4453511743938923E-003                  9.3458283878204793E-003                  2.0178685662684135E-013                  7.6654972285989538E-014                 -4.9577553880747018E+000                  6.7597565411647109E-001                 -1.5547672176388176E+001                 -2.1063388811543423E+042                  9.4369729536600639E+035                 -2.1063353097791305E+042                 -2.1063388811543423E+042                  4.2323528244520666E+001                  6.4961468810036088E-012                                        0                                        0                  1.1685299999999999E+002 
                                      10                  7.8914015800102539E-006                  1.4000000000002888E+000                 -6.1625553242911462E+000                  2.2104020779487580E+001                 -8.5228787452803374E+000                                      773                  1.3999999999957344E+000                  2.8270475695614250E-001                  1.4056338222268039E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8270475695614250E-001                  1.4056338222268039E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005744E+033                  2.7848800000005744E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7091344909040824E-001                 -1.2644509604505634E+001                 -7.3708614342883239E-001                  8.8149340846153845E-001                  6.2709448967124377E+000                  2.8263695486016376E+000                  4.5122894534898073E-001                 -4.7930164842977581E+000                  1.4270033589453599E+001                  1.8622311608466825E+014                  8.1970934974011023E+000                  6.6104031591549326E+000                  2.3176985398059980E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938905E-003                  9.3458283878204741E-003                  2.0492105119355872E-013                  7.8028611064772385E-014                 -5.0464328123006092E+000                  8.7091292375301765E-001                 -1.2644509604505634E+001                 -2.1078685677410082E+042                  7.4663052914389554E+035                 -2.1078633440766406E+042                 -2.1078685677410082E+042                  4.2323843527752864E+001                  1.1624485630771693E-011                                        0                                        0                  1.4661400000000000E+002 
                                      12                  8.8817936807501199E-006                  1.4000000000002917E+000                 -6.3563753503072586E+000                  2.2104222741374688E+001                 -8.5228787452803374E+000                                      773                  1.3999999999949158E+000                  1.5769834735076182E-001                  3.5124507660189153E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5769834735076182E-001                  3.5124507660189153E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005802E+033                  2.7848800000005802E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.1528882574638581E-001                 -1.1314569530411916E+001                 -4.9946601376627675E-001                  9.3168733680146876E-001                  6.3138810013696025E+000                  4.1974792417311031E+000                  6.2298855704977008E-001                 -4.7930088877616939E+000                  1.4270016175295979E+001                  1.8621564913812528E+014                  8.2039469663560904E+000                  6.6104319356295242E+000                  2.3177190096409088E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288508E+002                  3.4453511743938897E-003                  9.3458283878204724E-003                  2.0690291155200739E-013                  7.8939865493189787E-014                 -5.1680715573108014E+000                  9.1528846730008107E-001                 -1.1314569530411916E+001                 -2.1088475480213000E+042                  4.5480572536907897E+035                 -2.1088412855406632E+042                 -2.1088475480213000E+042                  4.2324045185028140E+001                  6.2590914645953993E-012                                        0                                        0                  1.7596400000000000E+002 
                                      14                  9.5269654049011997E-006                  1.4000000000002937E+000                 -6.5330844904924490E+000                  2.2104354255027971E+001                 -8.5228787452803374E+000                                      773                  1.3999999999942265E+000                  5.0913762094047077E-002                  7.0227745625484062E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0913762094047077E-002                  7.0227745625484062E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005842E+033                  2.7848800000005842E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.4651410607611708E-001                 -1.0582703998328199E+001                 -3.3732190554292163E-001                  9.6853778790605893E-001                  6.3384764912200167E+000                  5.2647754621685534E+000                  7.2137985365624024E-001                 -4.7930042191592870E+000                  1.4270005473109423E+001                  1.8621106033917762E+014                  8.2080091140451845E+000                  6.6104533616030885E+000                  2.3177320164720815E+001                  2.4199201343186307E+000                  4.0594781261230045E-001                  1.3719367680288511E+002                  3.4453511743938923E-003                  9.3458283878204828E-003                  2.0818646353867051E-013                  7.9547128218661122E-014                 -5.2592967234429819E+000                  9.4651383569670644E-001                 -1.0582703998328199E+001                 -2.1094852960484327E+042                  2.9209365604562260E+035                 -2.1094783854433141E+042                 -2.1094852960484327E+042                  4.2324176502523166E+001                  1.4556956768868221E-011                                        0                                        0                  2.0684299999999999E+002 
                                      16                  1.0238154550333818E-005                  1.4000000000002959E+000                 -6.3634396499286048E+000                  2.2104499179730215E+001                 -8.5228787452803374E+000                                      770                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005883E+033                  2.7848800000005883E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.7850316998821407E-001                 -9.8796789927939805E+000                 -1.3375213295192251E-001                  1.0108086461539456E+000                  6.3608388787092442E+000                  6.4690225255415870E+000                  8.1083866338370680E-001                 -4.7929995892740083E+000                  1.4269994859700002E+001                  1.8620650971706447E+014                  8.2121563028509890E+000                  6.6104807186337817E+000                  2.3177462915201250E+001                  2.4199201343186307E+000                  4.0594781261230029E-001                  1.3719367680288516E+002                  3.4453511743938918E-003                  9.3458283878204741E-003                  2.0959485972152057E-013                  8.0229470001865066E-014                 -5.3552851609013334E+000                  9.7850296861760611E-001                 -9.8796789927939805E+000                 -2.1101883147982542E+042                  4.1944110379209870E+035                 -2.1101807107267883E+042                 -2.1101883147982542E+042                  4.2324321213794562E+001                  1.3882519383143924E-011                                        0                                        0                  2.3723400000000001E+002 
                                      18                  1.1254001413132516E-005                  1.4000000000002990E+000                 -6.3453542743899671E+000                  2.2104706103134497E+001                 -8.5228787452803374E+000                                      769                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005946E+033                  2.7848800000005946E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0106368032792981E+000                 -9.0668836720160755E+000                  8.6249091553887172E-002                  1.0594738374911288E+000                  6.3873880503772664E+000                  8.2612776640066983E+000                  9.1704721917479026E-001                 -4.7929936547145111E+000                  1.4269981255528181E+001                  1.8620067693359009E+014                  8.2178609994020686E+000                  6.6105246936348525E+000                  2.3177671673687946E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938897E-003                  9.3458283878204724E-003                  2.1159726600859422E-013                  8.1222143091853859E-014                 -5.4188136679376617E+000                  1.0106366417192696E+000                 -9.0668836720160755E+000                 -2.1111925321136895E+042                  4.0751913192594487E+035                 -2.1111839909128159E+042                 -2.1111925321136895E+042                  4.2324527840992040E+001                  1.3186583268416802E-011                                        0                                        0                  2.6922399999999999E+002 
                                      20                  1.2300327526039858E-005                  1.4000000000003021E+000                 -6.2008050344983356E+000                  2.2104919132002049E+001                 -8.5228787452803374E+000                                      768                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006009E+033                  2.7848800000006009E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0314103932694598E+000                 -8.4241022955737392E+000                  2.4763443729396550E-001                  1.0975580999812318E+000                  6.4090984630886823E+000                  1.0090189681228560E+001                  1.0038993304328063E+000                 -4.7929884245083336E+000                  1.4269969266021855E+001                  1.8619553658879625E+014                  8.2235748519418674E+000                  6.6105688357753980E+000                  2.3177884241961749E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288508E+002                  3.4453511743938918E-003                  9.3458283878204811E-003                  2.1365187314464242E-013                  8.2257127338998839E-014                 -5.4330270479362879E+000                  1.0314102442143240E+000                 -8.4241022955737392E+000                 -2.1122269519375810E+042                  5.1181007463206036E+035                 -2.1122175379380300E+042                 -2.1122269519375810E+042                  4.2324740579902858E+001                  4.8366430001606883E-012                                        0                                        0                  2.9859600000000000E+002 
                                      22                  1.3808236696269976E-005                  1.4000000000003066E+000                 -6.1664313717436272E+000                  2.2105225954108239E+001                 -8.5228787452803374E+000                                      769                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006096E+033                  2.7848800000006096E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0487675337216582E+000                 -7.7709372169195099E+000                  3.8750235481186357E-001                  1.1344646512586465E+000                  6.4317778652958024E+000                  1.2434513438940545E+001                  1.0946287960460463E+000                 -4.7929824961159566E+000                  1.4269955676057911E+001                  1.8618971024021481E+014                  8.2315881366648824E+000                  6.6106313222035267E+000                  2.3178188997502456E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938936E-003                  9.3458283878204845E-003                  2.1660087965831248E-013                  8.3760028895700360E-014                 -5.4163836370979910E+000                  1.0487673849112820E+000                 -7.7709372169195099E+000                 -2.1137178676668604E+042                  4.5599458004891314E+035                 -2.1137073895152808E+042                 -2.1137178676668604E+042                  4.2325047018594660E+001                  4.6189742930840068E-012                                        0                                        0                  3.2947500000000002E+002 
                                      24                  1.6183317105401119E-005                  1.4000000000003137E+000                 -5.8638582277969151E+000                  2.2105708784881511E+001                 -8.5228787452803374E+000                                      764                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006240E+033                  2.7848800000006240E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0618913568666650E+000                 -7.1730215046552006E+000                  4.6580368269863426E-001                  1.1600024237926736E+000                  6.4519446451374529E+000                  1.4972971549059883E+001                  1.1753079993605100E+000                 -4.7929764541420239E+000                  1.4269941825763606E+001                  1.8618377246925350E+014                  8.2435366984498941E+000                  6.6107360206730332E+000                  2.3178673778394344E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288508E+002                  3.4453511743938931E-003                  9.3458283878204828E-003                  2.2123239454941983E-013                  8.6129738606417451E-014                 -5.3853721946153641E+000                  1.0618912017991464E+000                 -7.1730215046552006E+000                 -2.1160665813973445E+042                  6.3849717358490213E+035                 -2.1160548861654454E+042                 -2.1160665813973445E+042                  4.2325529328523139E+001                  1.4625232451763316E-012                                        0                                        0                  3.5907499999999999E+002 
                                      26                  2.1669468568822447E-005                  1.4000000000003303E+000                 -5.4370125181816427E+000                  2.2106822018439754E+001                 -8.5228787452803374E+000                                      762                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006569E+033                  2.7848800000006569E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0844651200976048E+000                 -6.5300939675191216E+000                  4.8588957500627045E-001                  1.1820742708903706E+000                  6.4698964047872209E+000                  1.7665645652336490E+001                  1.2471295148601791E+000                 -4.7929692156917243E+000                  1.4269925232782853E+001                  1.8617665912827034E+014                  8.2652010995856831E+000                  6.6110524567418567E+000                  2.3179785601617514E+001                  2.4199201343186307E+000                  4.0594781261230045E-001                  1.3719367680288511E+002                  3.4453511743938918E-003                  9.3458283878204828E-003                  2.3190876024120730E-013                  9.1581327759493918E-014                 -5.3229299959937206E+000                  1.0844649501209491E+000                 -6.5300939675191216E+000                 -2.1214929983816596E+042                  8.5547333426854273E+035                 -2.1214797925544867E+042                 -2.1214929983816596E+042                  4.2326641602791661E+001                 -1.0802050106387510E-013                                        0                                        0                  3.8820400000000001E+002 
                                      28                  2.9534488451061196E-005                  1.4000000000003539E+000                 -5.4372790860209026E+000                  2.2108413003449023E+001                 -8.5228787452803374E+000                                      760                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000007035E+033                  2.7848800000007035E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.1170420539524979E+000                 -6.0127528696243164E+000                  4.3379941770303709E-001                  1.1988844254027398E+000                  6.4813334192781182E+000                  1.9628672222917299E+001                  1.2928909228418131E+000                 -4.7929625406827041E+000                  1.4269909931449964E+001                  1.8617009975215041E+014                  8.2842222575289739E+000                  6.6117045254220468E+000                  2.3181373209976066E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938905E-003                  9.3458283878204741E-003                  2.4718103407641835E-013                  9.9396140216634734E-014                 -5.1493818344899340E+000                  1.1170418187940740E+000                 -6.0127528696243164E+000                 -2.1292735302574110E+042                  2.3779525964635185E+035                 -2.1292595179632660E+042                 -2.1292735302574110E+042                  4.2328231455262156E+001                  4.4267701145192276E-013                                        0                                        0                  4.1892500000000001E+002 
                                      30                  4.1282086059551286E-005                  1.4000000000003892E+000                 -5.2310809334861208E+000                  2.2110778578607214E+001                 -8.5228787452803374E+000                                      760                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000007739E+033                  2.7848800000007739E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.1636180932584308E+000                 -5.4943564093017203E+000                  3.3705445494976910E-001                  1.2239706447389354E+000                  6.4909034077452770E+000                  2.1438094100586397E+001                  1.3311861728868448E+000                 -4.7929548925945040E+000                  1.4269892399555525E+001                  1.8616258446288622E+014                  8.2973453950185938E+000                  6.6129803572872889E+000                  2.3183739316598956E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938918E-003                  9.3458283878204828E-003                  2.6990065187218313E-013                  1.1114985056507206E-013                 -5.1423996925276736E+000                  1.1636178785907656E+000                 -5.4943564093017203E+000                 -2.1408961218297619E+042                 -2.7254612593027202E+035                 -2.1408824006829117E+042                 -2.1408961218297619E+042                  4.2330595595453900E+001                  2.1753189496644597E-013                                        1                                        0                  4.5765600000000001E+002 
                                      32                  5.3029683668041372E-005                  1.4000000000004242E+000                 -5.2310809334861208E+000                  2.2113131338396961E+001                 -8.5228787452803374E+000                                      758                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000008436E+033                  2.7848800000008436E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.2049681405981614E+000                 -5.0534253815709222E+000                  3.0592644180302525E-001                  1.2565725535811620E+000                  6.4987509906316490E+000                  2.3045727691647610E+001                  1.3625904259548984E+000                 -4.7929479318332211E+000                  1.4269876443291155E+001                  1.8615574485296750E+014                  8.3036414028823735E+000                  6.6143947016276474E+000                  2.3186089533681727E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288514E+002                  3.4453511743938931E-003                  9.3458283878204828E-003                  2.9247219074886219E-013                  1.2304834318436214E-013                 -5.0472668454403822E+000                  1.2049678976299556E+000                 -5.0534253815709222E+000                 -2.1525191118166662E+042                 -5.0318310646161957E+035                 -2.1525063137134883E+042                 -2.1525191118166662E+042                  4.2332947016162699E+001                  2.3632192823993287E-013                                        1                                        0                  4.8773399999999998E+002 
